weight,id,name,category,alias,aliasflag
161,apsalar,Apsalar,Assassins,,0
71,apt,Apt,Assassins,,0
6,aralt,Aralt Arpat,Malazans,Aralt Arpat or Aralt,1
4,baran,Baran,POH,,0
20,baria,Baria Setral,COD,Baria Setral or Baria,1
224,baudin,Baudin,Enslaved,,0
109,beneth,Beneth,Enslaved,,0
4,bent,Bent,COD,,0
5,bidithal,Bidithal,Rebels,,0
9,blind,Blind,POH,,0
27,blistig,Blistig,Malazans,,0
18,bula,Bula,Enslaved,,0
124,bult,Bult,COD,,0
18,chenned,Chenned,COD,,0
315,coltaine,Coltaine,COD,,0
75,cotillion,Cotillion,Others,Cotillion or Rope or Dancer,1
207,crokus,Crokus,Assassins,,0
3,cuttle,Cuttle,COD,,0
765,duiker,Duiker,COD,,0
2,febryl,Febryl,Rebels,,0
395,felisin,Felisin,Enslaved,,0
450,fiddler,Fiddler,Assassins,,0
7,gear,Gear,POH,,0
130,gesler,Gesler,Enslaved,,0
21,gryllen,Gryllen,POH,Gryllen or Nawahl Ebur or Nawahl,1
397,heboric,Heboric,Enslaved,,0
13,hentos,Hentos Ilm,Others,,0
282,icarium,Icarium,POH,,0
9,irp,Irp,Others,,0
194,iskaral,Iskaral Pust,POH,Iskaral Pust or Iskaral or Pust,1
538,kalam,Kalam,Assassins,,0
60,kamist,Kamist Reloe,Rebels,Kamist Reloe or Kamist or Reloe,1
16,karpolan,Karpolan Demesand,Others,Karpolan Demesand or Karpolan,1
48,keneb,Keneb,Malazans,,0
7,kesen,Kesen,Malazans,,0
15,kimloc,Kimloc,Others,,0
89,korbolo,Korbolo Dom,Rebels,Korbolo Dom or Korbolo or Dom,1
323,kulp,Kulp,Enslaved,,0
9,legana,Legana Breed,Others,,0
21,lenestro,Lenestro,COD,,0
107,leoman,Leoman,Rebels,,0
150,list,List,COD,,0
7,loric,L'oric,Rebels,,0
39,lostara,Lostara Yil,Malazans,Lostara Yil or Lostara,1
128,lull,Lull,COD,,0
93,mallick,Mallick Rel,Rebels,Mallick Rel or Mallick or Rel,1
370,mappo,Mappo,POH,,0
37,mebra,Mebra,Rebels,,0
14,mesker,Mesker Setral,COD,Mesker Setral or Mesker,1
9,messremb,Messremb,POH,,0
82,minala,Minala,Assassins,,0
10,mincer,Mincer,COD,,0
33,moby,Moby,Assassins,,0
7,mogora,Mogora,POH,,0
79,nether,Nether,COD,,0
40,nethpara,Nethpara,COD,,0
74,nil,Nil,COD,,0
10,panek,Panek,Assassins,,0
123,pearl,Pearl,Malazans,Pearl or Salk Elan or Elan,1
23,pella,Pella,Malazans,,0
66,pormqual,Pormqual,Malazans,,0
16,pullyk,Pullyk Alar,COD,Pullyk Alar or Pullyk or Alar,1
59,rellock,Rellock,POH,Rellock or Servant,1
8,rood,Rood,POH,,0
8,rudd,Rudd,Others,,0
7,ryllandaras,Ryllandaras,POH,,0
36,sawark,Sawark,Malazans,,0
20,selv,Selv,Malazans,,0
112,shaik,Sha'ik,Rebels,,0
66,shadowthrone,Shadowthrone,Others,Shadowthrone or Kellanved,1
11,shan,Shan,Others,,0
93,sormo,Sormo E'nath,COD,Sormo E'nath or Sormo,1
14,squint,Squint,Malazans,,0
93,stormy,Stormy,Enslaved,,0
40,sulmar,Sulmar,COD,,0
4,temul,Temul,COD,,0
19,tene,Tene Baralta,Malazans,Tene Baralta or Tene or Baralta,1
62,toblakai,Toblakai,Rebels,,0
9,topper,Topper,Malazans,,0
52,truth,Truth,Enslaved,,0
12,tumlit,Tumlit,COD,,0
6,vaneb,Vaneb,Malazans,,0
